tweet	date	svm	nb	sa-score	sa-rounded
"China flies nuclear-capable bomber in South China Sea after Trump Taiwan call, US officials say https://t.co/ZLHXp8FxPA "	12/10/16	0	0	0	0
"China flies nuclear-capable bomber in South China Sea after Trump Taiwan call, US officials say https://t.co/nTMCJjLIhY "	12/10/16	0	0	0	0
"China flies nuclear-capable bomber in South China Sea after Trump Taiwan call, US officials say https://t.co/ZLHXp8FxPA "	12/10/16	0	0	0	0
Gingrich: Trump's phone call with Taiwan leader 'a very tough signal to Beijing' https://t.co/LrXE48LI89 	12/6/16	0	0	-0.2006	-1
Former Obama national security adviser says Trump call with Taiwan 'didn't bother me' https://t.co/8fXqiFyrR8 https://t.co/775QVwEndA 	12/6/16	1	1	0.5324	1
China flew nuclear-capable bombers over Taiwan before Trump call with Taiwanese president  https://t.co/GNcOZKkepJ https://t.co/1ajyMPTZBk 	12/5/16	0	0	0	0
China flew nuclear-capable bombers over Taiwan before Trump call with Taiwanese president  https://t.co/GNcOZKkepJ 	12/5/16	0	0	0	0
Bolton on Trump's Taiwan Call: China Doesn't Tell Us Who We Can Talk To https://t.co/pCZgCLhddP 	12/4/16	0	0	0	0
".@KellyannePolls: @realDonaldTrump's talk with Taiwan leader 'just a call,' not a sign of policy shift https://t.co/5wknnPNYCz "	12/4/16	0	0	0	0
"Conway: Trump's talk with Taiwan leader 'just a call,' not a sign of policy shift  https://t.co/vrdVuIOHZK #TrumpTransition https://t.co/wZlYJpvwoY "	12/4/16	0	0	0	0
Bolton on Trump's Taiwan Call: China Doesn't Tell Us Who We Can Talk To https://t.co/0NdLADdt6v 	12/4/16	0	0	0	0
"Former US ambassador, Cotton back Trump on Taiwan call, after immediate backlash, criticism https://t.co/UMkLgCNAKb "	12/3/16	0	0	-0.4404	-1
Bolton on Trump's Taiwan Call: China Doesn't Tell Us Who We Can Talk To https://t.co/pHVybRTq36 	12/3/16	0	0	0	0
"Former US ambassador, Cotton back #Trump on #Taiwan call, after immediate backlash, criticism https://t.co/vwq4XUbbEH "	12/3/16	0	0	-0.4404	-1
Bolton on #Trump's Taiwan call: China doesn't tell us who we can talk to. MORE: https://t.co/pCZgCLhddP https://t.co/rBo9vIMBWY 	12/3/16	0	0	0	0
Bolton on #Trump's Taiwan Call: China Doesn't Tell Us Who We Can Talk To  https://t.co/pHVybRBOEw 	12/3/16	0	0	0	0
"Trump speaks with Taiwan's president, risking China tensions https://t.co/NUFEU8tcvt via @foxnewspolitics https://t.co/Yjwee1RyTb "	12/2/16	0	0	-0.6124	-1
American man kills himself in Taiwan courtroom after receiving 4-year prison sentence on drug charges https://t.co/bHV52CMqJu 	6/17/16	1	1	-0.8225	-1
China-Taiwan tensions are rising. How Obama responds is critical | via @AmbJohnBolton @fxnopinion | https://t.co/Wi9EdfIY6z 	4/25/16	0	1	-0.6124	-1
Survivor pulled from rubble two days after Taiwan earthquake was shielded by husband's body https://t.co/esVkaOYTyq 	2/8/16	0	0	0.3612	1
"Death toll from Taiwan quake hits 34, hunt on for survivors   https://t.co/1OJ9SyEXR2 https://t.co/RBOVCy89nS "	2/7/16	0	0	-0.5994	-1
"At least 26 dead, nearly 200 pulled from rubble after strong Taiwan earthquake https://t.co/Au27C0x5sH https://t.co/fUSl8dXyWo "	2/7/16	0	0	-0.25	-1
"Over 100 missing, 14 dead as strong quake rattles Taiwan https://t.co/P6ulpAzIEE https://t.co/pyfnoD1zr0 "	2/6/16	0	0	-0.4939	-1
"UPDATE: At least 14 dead, over 100 missing after strong quake rattles #Taiwan https://t.co/PZLnhjdcfo https://t.co/9NSWbfg4nX "	2/6/16	0	0	-0.4939	-1
At least five killed after strong quake rattles Taiwan https://t.co/zebYBs0uvC 	2/6/16	0	0	-0.296	-1
"6.4-magnitude earthquake strikes Taiwan, USGS reports "	2/5/16	0	0	-0.3612	-1
"Taiwanese student pilot involved in Ariz. F-16 fighter jet crash, condition unknown  https://t.co/RHqzJY4rBX https://t.co/8xyHNBr7Oh "	1/21/16	0	0	-0.2732	-1
Taiwanese politician jumps through ring of fire in desperate bid for votes  https://t.co/dYzhTt2QES 	12/15/15	1	1	-0.5719	-1
Historic conference: Presidents of Taiwan and China to meet for first time since split https://t.co/8J1s4wURJJ 	11/3/15	0	0	0	0
Taiwanese mom might have to pay compensation after giving birth on a flight to the US | https://t.co/RCS0wmmswX 	10/23/15	0	0	0.25	1
