tweet	date	svm	nb	sa-score	sa-rounded
"#China on Friday urged U.S. parties to abide by the #OneChina principle, the provisions of the three China-U.S. joint communiques, and handle #Taiwan-related issues prudently and properly, after the 2020 Democratic Party platform removed endorsement of ""one China"" policy. https://t.co/xvU1cwKWoP "	8/21/20	0	0	0.7717	1
The PLA Eastern Theater Command sent naval and aerial forces to track and monitor the entire course of USS Mustin destroyer as it sailed through the Taiwan Straits on Tuesday: Eastern Theater Command spokesperson https://t.co/jJqOMk78o9 	8/19/20	0	0	-0.4588	-1
"China firmly opposed any form of official contact between the Taiwan region and Somaliland after the region opened a representative office in the East African territory on Mon, Chinese FM spokesperson Zhao Lijian said at a daily press briefing on Tue. https://t.co/qXiElvOf4K "	8/18/20	0	0	0	0
"China on Monday warned the U.S. that it should respect China's red line on the #Taiwan question, after the island finalized the purchase of F-16 fighter jets from U.S. aircraft manufacturer Lockheed Martin on August 14. https://t.co/dQZEZ4Tccz "	8/17/20	0	0	0.3818	1
"Cute, cute, cute! A newborn #panda cub in Taipei Zoo, SE China’s Taiwan is being taken good care of. https://t.co/WTYObbw1ar "	8/15/20	0	0	0.937	1
"The #PLA Eastern Theater Command recently held training exercises in the #TaiwanStrait and its northern and southern ends to strengthen combat capability, a spokesperson said on Thur, adding patrol and training exercises are necessary moves to safeguard national sovereignty. https://t.co/FiEgphXTrF "	8/13/20	0	0	0.3612	1
"Commenting on U.S. health secretary's #Taiwan visit, Chinese FM spokesperson urged U.S. officials to stop gesture politics. ""U.S. saw 150,000 new cases, and 2,000 citizens died during his three-day-visit,"" he said, advising Alex Azar to focus on saving lives than blaming China. https://t.co/vvoC5N9bqY "	8/12/20	0	0	-0.8402	-1
"A Chinese mainland spokesperson on Wed urged Taiwan's Democratic Progressive Party (DPP) authority to immediately stop political manipulation over #HongKong issue, adding DPP authority's real intention is to make chaos in HK and seek ""Taiwan independence,"" which is doomed to fail https://t.co/ge5QOVQv1S "	8/12/20	0	0	-0.91	-1
"#PeoplesDailyComments: There is only one China in the world, and Taiwan is an inseparable part of the Chinese territory. Any attempt that denies and challenges the “one-China principle” is doomed to fail. https://t.co/1nqzFyEueg https://t.co/Qtd6BsXPyN "	8/11/20	0	0	-0.8807	-1
China's Foreign Ministry on Monday reiterated that China firmly opposes any official interactions between the U.S. government and Taiwan after U.S. Health Secretary Alex Azar met the island's leader Tsai Ing-wen. https://t.co/sEkubKzTgM https://t.co/JbITrj1suD 	8/10/20	0	0	0	0
"Chinese defense minister Wei Fenghe stated China's stance on #SouthChinaSea, Taiwan &amp; US stigmatization of China and urged the US side to stop erroneous deeds and avoid taking dangerous moves that may escalate the situation in a phone call w/ his US counterpart Mark Esper on Thur https://t.co/Ma8DcwxysK "	8/6/20	0	0	-0.8316	-1
#China has lodged solemn representations in Beijing and Washington with the #US over US health secretary Alex Azar's upcoming visit to #Taiwan and urged the US not to send the wrong signals to #Taiwan secessionists: Chinese foreign ministry https://t.co/36FInBX6Uk 	8/5/20	0	0	-0.5267	-1
"China's national observatory on Sunday issued a blue alert for #TyphoonHagupit, which is expected to bring gales and torrential rains to sea areas east of Taiwan, parts of the East China Sea and some coastal areas of Guangxi Zhuang Autonomous Region. (file pic) https://t.co/OPF1DVKoAf "	8/2/20	0	0	0.296	1
Audio released on Saturday showing a Chinese naval aviation jet drove away an intruding US military plane approaching #Taiwan airspace on July 23. https://t.co/5UYmxnBV3K 	8/1/20	0	0	0	0
"Lee Teng-hui, former leader of SE China's #Taiwan, died of illness on July 30 at the age of 97, the Taipei Veterans General Hospital said. https://t.co/Y33YRyrmLq "	7/30/20	0	0	-0.743	-1
"4 people were found dead while 4 others remained missing after a mainland sand carrier capsized in the waters of Penghu archipelago on Sunday evening, SE China's Taiwan's coast guard authority said Monday. https://t.co/K2SFcJ3Fk8 "	7/27/20	0	0	-0.7351	-1
"#BREAKING: A 5.5-magnitude #earthquake jolted coastal waters of #Hualien County in SE China's #Taiwan with a depth of 50 km, according to the China Earthquake Networks Center (CENC). https://t.co/oQ1iCtlmGc "	7/26/20	0	0	0	0
"Chinese President #XiJinping Tuesday expressed gratitude to state-owned, private, foreign-funded enterprises, as well as HK, Macao, Taiwan-invested companies for their contributions to epidemic prevention and economic and social development work. https://t.co/Rw0Z4JBizt "	7/21/20	0	0	0.6597	1
"A military #helicopter crashed at an airbase in #Hsinchu, SE China's #Taiwan on Thursday, killing the pilot and co-pilot, a military source said. The helicopter had returned from a drill to the base before the accident happened. https://t.co/Q53R2R7H5I "	7/16/20	0	0	-0.8176	-1
The Chinese defense ministry on Wednesday voiced strong dissatisfaction and opposition as to the recent approval by the US Department of State of a $620 million upgrade package for the Lockheed Martin-built PAC-3 #missile system to #Taiwan. https://t.co/NJMQGgMlT6 	7/15/20	0	0	0.5719	1
"China decides to impose #sanctions on U.S. company Lockheed Martin, the main contractor involved in the latest arms sales plan to #Taiwan, as a necessary move to safeguard national interests, Foreign Ministry announced on Tuesday. https://t.co/8rtLfmWlZb "	7/14/20	0	0	0.34	1
"#China will impose sanctions on US manufacturer Lockheed Martin over #US arms sale to #Taiwan region, announced Chinese Foreign Ministry spokesperson Zhao Lijian at a press conference on Tuesday. https://t.co/St7tQq5f3B "	7/14/20	0	0	-0.296	-1
"Born in Taipei, SE China’s Taiwan, giant panda Yuanzai celebrated her 7th birthday on Monday blessed with wishes from both sides of the Taiwan Straits. She even got a special cake! https://t.co/RsEaFQCXE6 "	7/6/20	0	0	0.9041	1
"The DPP's unreasonable suppression on the normal reporting of mainland media and reporters has exposed the hypocrisy of their self-styled advocating of press freedom, the State Council Taiwan Affairs Office said Fri, urging them to stop their unreasonable activities. https://t.co/qoCyY3nswR "	7/3/20	0	1	0.4019	1
"Giant panda Yuan Yuan, one of a panda pair from the Chinese mainland, gave birth to her second cub at Taipei Zoo in #Taipei, southeast China’s #Taiwan, on Sunday, the city zoo said. https://t.co/DvXGLBe5od https://t.co/Qfni6Dm7RL "	6/29/20	0	0	0	0
"Separatists in China's #Taiwan must ""step back from the brink,” as some groups are provoking confrontations across the Taiwan Strait, the Taiwan Affairs Office of the State Council said Fri, warning they will be punished severely if they break the law. https://t.co/L2jP3Mfme9 "	6/12/20	0	0	-0.8934	-1
"The US military aircraft's flight over island of Taiwan on Tuesday jeopardized China's sovereignty, security and development interests, and was an illegal and provocative act. We resolutely oppose such act: State Council Taiwan Affairs Office https://t.co/EOXIyoxrlW "	6/11/20	0	0	-0.0516	-1
The US took a series of actions flouting intl code of conduct during #COVID19 pandemic. Here are some close-up comparisons between intl laws and US acts. 	6/4/20	0	1	0	0
"China's #HongKong Special Administrative Region will extend mandatory #quarantine for all inbound travelers from the mainland, #Macao SAR and #Taiwan. The quarantine, scheduled to expire on June 7, will be extended for another month to July 7, said HK government on Tuesday https://t.co/U8h9TuyXMs "	6/2/20	0	0	0.5719	1
"Attempts by #Taiwan's legislature to interfere in #HongKong affairs are doomed to fail, remarked Ma Xiaoguang, spokesperson for the Taiwan Affairs Office of the State Council, in response to a so-called ""statement"" by the island's legislature. https://t.co/xHVDKJIm0g "	5/30/20	0	0	-0.8271	-1
"China will promote the peaceful reunification of the country, Premier Li Keqiang said Thursday in response to a question related to Taiwan. #TwoSessions2020 https://t.co/sAaCks8BTX "	5/28/20	0	0	0.7003	1
"U.S. should immediately stop arms sales to Taiwan and cease military contacts with the island, said China's Defense Ministry spokesperson Wu Qian, adding  Chinese PLA will take all necessary measures to resolutely safeguard China's national sovereignty and territorial integrity. https://t.co/cZrsyOfjrI "	5/24/20	0	0	0.5423	1
No individual or force can stop the reunification of the two sides of the #Taiwan Strait 	5/24/20	0	1	-0.5267	-1
"Meet this 95-meter-tall Taiwania, growing in the SW China's Yunnan province. It is reportedly the tallest of its kind in Eurasia. https://t.co/CAHG94r88B "	5/23/20	0	0	0.6249	1
"China will resolutely oppose and deter any separatist activities seeking ""Taiwan independence,"" said a government work report on Friday. #TwoSessions2020 https://t.co/XcLv6EdrxD "	5/21/20	0	0	0	0
"China firmly opposed the US plan to sell arms to Taiwan and has lodged stern representations with the US side, FM spokesperson Zhao Lijian said Thursday in response to the US planned sale of $180 million of torpedoes to Taiwan. https://t.co/p6bh73C1nx "	5/21/20	0	0	0	0
"National reunification is critical to the rejuvenation of the Chinese nation and cannot be stopped by anyone or any force, a mainland spokesperson said Wed when asked to comment on what Taiwan's leader Tsai Ing-wen said about cross-Strait relations in her address earlier the day. https://t.co/HoctnDj71A "	5/20/20	0	0	-0.1615	-1
"A 5.4-magnitude #earthquake hit Taidong County, China's Taiwan at 11:24 a.m. Sunday (local time), with a depth of 40 km, according to the China Earthquake Networks Center (CENC). https://t.co/v2JCsql3xb "	5/2/20	0	0	0	0
"The attempt by a certain ""Taiwan independence"" group to push for the so-called ""constitutional referendum"" in Taiwan goes against the tide of history and will only lead to a dead-end, a mainland spokesperson said on Tuesday. https://t.co/s8LIW2PdhR "	4/28/20	0	1	0.2732	1
"Chinese mainland to suspend students at various academic levels from going to Taiwan for further studies this year due to #COVID19 epidemic prevention and control measures and cross-Strait relations; students already in Taiwan can continue their studies: Education Ministry, Thur. https://t.co/vIcPu3k8Kc "	4/9/20	0	1	-0.3182	-1
"China resolutely opposes the so-called “Taiwan Allies International Protection and Enhancement Initiative (TAIPEI) Act of 2019” signed by US President Donald Trump, saying it severely violates the #OneChina Principle and the three China-US joint communiques: Foreign Ministry, Fri https://t.co/WCrurS02fr "	3/27/20	0	0	-0.743	-1
"#Macao will ban all visitors from the Chinese mainland, the Hong Kong SAR and Taiwan who have traveled overseas from entering the region starting Wednesday, Ho Iat Seng, chief executive of the Macao SAR, said on Tuesday. #COVID19 https://t.co/rQtKkQbpGl "	3/24/20	0	0	-0.5574	-1
"In a bid to curb the spread of #COVID19, #Taiwan authorities announced Wednesday that no one but Taiwan residents shall be allowed to enter the region starting Thursday https://t.co/kbKQz7AYQS "	3/18/20	0	0	-0.1531	-1
"Another person was confirmed to be infected by novel #coronavirus in SE China's #Taiwan on Wed, raising the total number of #COVID19 cases to 23, according to the island's epidemic monitoring agency https://t.co/8kCZ3KJxDL "	2/19/20	1	0	-0.1531	-1
"Taiwan reports its first death from #coronavirus – a man over 60 with no recent travel history, according to local media. Two new confirmed cases have also been reported, bringing the total number on the island to 20. https://t.co/E8HCAWaEw2 "	2/16/20	0	0	-0.7003	-1
"#BREAKING: A 5.4-magnitude earthquake jolted Hualian, China’s Taiwan, at 19:00 on Saturday, with a depth of 10 km: CENC https://t.co/pW8qkov1TA "	2/15/20	0	0	0	0
"#LATEST on #COVID19 outbreak in China, as of Feb 14: "	2/14/20	0	0	0	0
"14 Chinese people (two from Chinese mainland, 11 from Hong Kong and one from Taiwan) onboard the #DiamondPrincess cruise ship infected with #COVID19, the Chinese embassy in Japan has confirmed. https://t.co/UGYsXdyScT "	2/14/20	0	0	-0.4939	-1
"#LATEST on #COVID19 outbreak in China, as of Feb 13: "	2/13/20	0	0	0	0
"A 4.5-magnitude #earthquake hit Hualien County in SE China's Taiwan at 01:49 a.m. Thursday (local time), according to the China Earthquake Networks Center (CENC). https://t.co/C5Q1ze2Tn1 "	2/13/20	0	0	0	0
"#LATEST on #COVID19 outbreak in China, as of Feb 12: "	2/13/20	0	0	0	0
Chinese mainland's 1st #Taiwan patient confirmed of novel #coronavirus pneumonia (#COVID19) was discharged from a hospital in Shenzhen on Wed after recovery. The patient worked in #Wuhan and took a flight to Shenzhen on Jan. 18 (file pic) https://t.co/GRlUD0VQeU 	2/12/20	0	0	0.3182	1
"#LATEST on #CoronavirusOutbreak in China, as of Feb 11: "	2/11/20	0	0	0	0
"#LATEST on #CoronavirusOutbreak in China, as of Feb 10: "	2/10/20	0	0	0	0
"#LATEST on #CoronavirusOutbreak in China, as of Feb 9: "	2/9/20	0	0	0	0
"Taiwan confirmed the 18th novel #coronavirus pneumonia case, also the first without symptoms, the island's epidemic monitoring agency said Sunday. Taiwan now has 152 suspected cases under quarantine. https://t.co/xIJ55UgPuR "	2/9/20	0	0	0.1027	1
"#LATEST on #CoronavirusOutbreak in China, as of Feb 7: "	2/7/20	0	0	0	0
"#LATEST on the #coronavirus outbreak in #China, as of Feb 6: "	2/6/20	0	0	0	0
"Any attempt to use the novel coronavirus to plot ""Taiwan independence"" is doomed to fail, Taiwan Affairs Office said Thursday. Taiwan's ruling DPP and separatist forces are stirring up the issue of Taiwan joining WHO and trying to use the virus to broaden its international space. https://t.co/beqc97M98f "	2/6/20	0	0	-0.7506	-1
"#LATEST on the #coronavirus outbreak in #China, as of Feb 5: "	2/5/20	0	0	0	0
"#LATEST on the #coronavirus outbreak in #China, as of Feb 4: "	2/4/20	0	0	0	0
"#LATEST on the #coronavirus outbreak in #China, as of Feb 3: "	2/3/20	0	0	0	0
"A 4.6-magnitude #earthquake hit Hualien County in SE China's Taiwan at 01:02 a.m. Tuesday (local time), according to the China Earthquake Networks Center (CENC). https://t.co/Q8RyzZP9Z6 "	2/3/20	0	0	0	0
"China closely monitored the US warship’s passage through the Taiwan Strait, a Chinese FM spokesperson said on Friday, and urged the US side to strictly abide by the three China-US joint communiques and properly handle Taiwan-related issues. (file pic) https://t.co/HcIv4vhwvf "	1/17/20	0	0	0	0
"Taiwan's DPP leader was warned not to be conceited. Taiwan has never been a country; it is an inalienable part of China. Anyone who wants to challenge this fact will end up being discredited, said a mainland official on Taiwan leader Tsai Ing-wen's remarks in an interview w/ BBC https://t.co/koaIRANiRn "	1/16/20	0	1	-0.5719	-1
"Beijing on Wed reiterated that the recent Taiwan leadership election result does not change the fact the island is an inalienable part of China, days after Taiwan leader Tsai Ing-wen secured a second term, a spokesperson for the Taiwan Affairs Office said. https://t.co/ekrLDD70Rj "	1/15/20	0	0	0.4019	1
"The foreign ministry on Sun urged the global community to continue abiding by the one-China principle after the Taiwan leadership election, adding that no matter what happens in Taiwan, the fact that there is only one China in the world and Taiwan is part of China will not change https://t.co/GqZ5gU73B2 "	1/11/20	0	0	-0.2732	-1
"#Breaking: Taiwan leader Tsai Ing-wen of the Democratic Progressive Party (DPP) won a second term over her opponent, Han Kuo-yu of the Kuomintang (KMT). https://t.co/tYaTZBFf7T "	1/11/20	0	0	0.7506	1
Taiwan residents began voting in the island's leadership and legislature elections at 8 a.m. Saturday. Voting results are expected to be announced Saturday evening https://t.co/Jg779wOxp4 	1/10/20	0	0	0	0
"Three top #Taiwan military officials remain missing after a UH-60M Black Hawk helicopter made an emergency landing on Thursday morning, with 13 people on board, local authorities confirm; ten people have been successfully rescued (file photo) https://t.co/BSBqDHBGO5 "	1/1/20	0	0	0.4588	1
"A Chinese mainland spokesperson on Tuesday strongly condemned Taiwan's Democratic Progressive Party (DPP) for creating ""green terror"" on the island, undermining the exchanges and harming the feelings of the people across the Taiwan Strait. https://t.co/jVP18tFUoH "	12/31/19	0	1	-0.7506	-1
"An amendment to the law on the protection of investments by compatriots from Taiwan, which simplifies the procedures by removing the requirement of government examination, approval and filing, was adopted in Beijing on Saturday to welcome more investment from Taiwan. https://t.co/GZ4LfVVXW2 "	12/28/19	0	0	0.7269	1
"China’s 1st domestically made #AircraftCarrier, Shandong, sailed through the #Taiwan Strait on Thursday afternoon, SE China's Taiwan media reported https://t.co/xpoKGPlRgJ "	12/26/19	0	0	0	0
"Enterprises from China's Taiwan will embrace more business chances in the Chinese mainland. China's State Council Taiwan Affairs Office on Wednesday elaborated on the 26 measures unveiled last month, which aimed at promoting economic and cultural exchanges across Taiwan Strait. https://t.co/957GUjRf9k "	12/11/19	0	0	0.7076	1
"The Chinese character ""乱""(luan) or #chaos, has been voted to be the most representative word of the year 2019 by people of SE China's #Taiwan https://t.co/PUcRRMTEU9 "	12/7/19	0	1	-0.5719	-1
"Seven crewmembers have been rescued and two remain missing after a Taiwanese cargo ship sank off the coast of the Chinese mainland province of Fujian Wednesday night, following a collision with an unidentified vessel. Rescue work is still underway. https://t.co/pJewWlW87U "	11/21/19	0	0	0.34	1
#Video: China’s first home-built aircraft carrier sailed through the Taiwan Straits on Sunday to conduct scientific research tests and routine training in relevant waters of the #SouthChinaSea https://t.co/ANe3KrKvhB 	11/18/19	0	0	0	0
"China's first domestically built aircraft carrier on Sunday passed through the Taiwan Straits for scientific research and routine drills in the South China Sea, according to a spokesperson of China's navy. (file pic) https://t.co/UotDs3OCEA "	11/17/19	0	0	0	0
"Three Taiwan residents were under investigation on suspicion of jeopardizing national security, Taiwan Affairs Office of the State Council said on Wed https://t.co/65HtJeW1Pr "	11/12/19	0	0	-0.0516	-1
"Chinese mainland on Monday unveiled measures to further promote economic and cultural exchanges and cooperation across the #Taiwan Strait, known as the ""26 measures,"" effective from the day of its promulgation. https://t.co/0dWKlLzCeY "	11/3/19	0	0	0.6908	1
"Chinese mainland has removed 37.53 billion yuan (5.32 billion U.S. dollars) of #tariffs from goods of SE China's #Taiwan as of June this year, a mainland spokesperson said Wednesday https://t.co/dhL9WGI2wy "	10/30/19	0	0	0	0
"Chan Tong-kai, the suspect of a homicide case in #Taiwan and whose case triggered extradition bill protest in #HongKong, was released on Wednesday from HK prison, saying he is willing to surrender to Taiwan https://t.co/vv6l4t5WJB "	10/23/19	0	0	-0.7579	-1
"Chan Tong-kai (L), the #HongKong resident accused of killing his girlfriend in Taiwan, which then prompted the Hong Kong SAR government to introduce the controversial fugitive bill, was released from prison on Wednesday. https://t.co/WVBXpSUW1D "	10/22/19	0	0	-0.8934	-1
The #HongKong Special Administrative Region (HKSAR) government said on Sunday that it hopes Taiwan will receive the self-surrendered suspect of a homicide case and it will offer all necessary assistance within its legal limits. https://t.co/E02UMFdjrr 	10/20/19	0	0	0.5859	1
"Hong Kongese murder suspect Chan Tong-kai is to surrender himself to Taiwan after killing his pregnant girlfriend. #HongKong government said the case was the reason for proposing extradition bill, which sparks months-long unrest. https://t.co/x2kMVtIGO6 https://t.co/dQGJL6Mvzp "	10/18/19	0	0	-0.9062	-1
"A 5.1-magnitude #earthquake jolted waters off #Hualien County in SE China's Taiwan at 7:44 p.m. with a depth of 16 km, according to the China Earthquake Networks Center https://t.co/akvOMc0fMn "	10/17/19	0	0	0	0
"Beijing and Prague in the Czech Republic has ended sister-city relations after Prague council's improper remarks and wrong actions on Taiwan and Tibet issues, Beijing's Foreign Affairs Office announced in a statement on Wednesday https://t.co/WWbc399gaT "	10/10/19	0	0	-0.4767	-1
"All of the dead bodies of the six victims in the bridge collapse in Yilan county, China’s Taiwan were found on Thur, with three of them were from Indonesia and the others from Philippines. There were another 12 injured in the incident. https://t.co/9ZLFbT09PX "	10/3/19	0	0	-0.91	-1
"Bridge collapses in Yilan county, SE China's Taiwan with at least 12 injuries on Tuesday morning. https://t.co/yx93uHOqzD "	10/1/19	0	0	-0.296	-1
"JUST IN: A bridge in Yilan county, China's #Taiwan, collapsed on Tue, injuring at least 14 people https://t.co/qRKoI6ZiIX "	10/1/19	0	0	-0.2732	-1
"China activated a level-IV emergency response for typhoon Mitag on Sun. Mitag, the 18th typhoon this year, is forecasted to sweep Taiwan on Mon and move north to land in Zhejiang Province on Tue, which will bring heavy rain to coastal areas. (file pic) https://t.co/0qfxp5baWw "	9/29/19	0	0	-0.3818	-1
"It is a correct decision made independently by #Kiribati to sever ""diplomatic ties"" with #Taiwan authorities, which is fully in line with the fundamental and long-term interests of Kiribati and its people: Chinese FM Wang Yi said in meeting with Kiribati's President Taneti Mamau https://t.co/CznOk1Y5B3 "	9/26/19	0	0	0.25	1
"Taiwan's participation in int’l activities must be based on the #OneChina principle, a State Council Taiwan Affairs Office spokesperson said on Wed in response to the DPP’s claim that it failed to attend the ICAO assembly due to “pressure” from the mainland. https://t.co/XKdOxfD5ww "	9/26/19	0	0	-0.5106	-1
"Solomon Islands' Minister of Foreign Affairs and External Trade Jeremiah Manele rebutted the claim on Sunday that Beijing is using ""dollar diplomacy"" to induce his country to break ties with Taiwan. His country's sovereign decisions ""cannot be bought,"" he said. https://t.co/ZTW8K4rlvL "	9/22/19	0	0	0	0
"China highly appreciates Kiribati’s recognition of the #OneChina principle and its gov’t decision to cut so-called “diplomatic ties” with #Taiwan and restore diplomatic ties with the PRC, said a FM spokesperson on Fri. https://t.co/OpfIg2tZPk "	9/20/19	0	0	0.5709	1
#BREAKING: Kiribati on Fri cuts 'diplomatic ties' with #Taiwan : Media reports https://t.co/b4bRMYFS4j 	9/20/19	0	0	-0.296	-1
"China on Wed urged the US to properly handle Taiwan-related issues to avoid damaging China-US relations, a FM spokesperson said in response to reports that US VP Pence canceled a meeting with Solomon Islands PM after the nation broke so-called “diplomatic ties” with Taiwan on Mon https://t.co/QXOImbNTkw "	9/18/19	0	0	-0.8074	-1
"DPP has been overconfident in their self-deceiving attempt to fiddle in international affairs, said Ma Xiaoguang, spokesperson for the State Council's Taiwan Affairs Office, on Thur, in response to Solomon Islands’ break of so-called “diplomatic ties” with Taiwan authorities. https://t.co/6ZA233BI1X "	9/17/19	0	0	0	0
"China highly appreciates the decision of the Solomon Islands’ government to recognize the #OneChina principle and break its so-called “diplomatic ties” with the Taiwan authorities, Foreign Ministry spokesperson Hua Chunying said on Monday. https://t.co/ieHAyaFRPO "	9/16/19	0	0	0.5563	1
"#BREAKING: Solomon Islands cut ""diplomatic ties"" with the island of #Taiwan on Mon; Taiwan has 16 ""diplomatic allies"": media reports https://t.co/kva1RD0Tr0 "	9/16/19	0	0	-0.2732	-1
"The Chinese mainland will continue to implement its preferential policies to benefit Taiwan enterprises and compatriots, said a spokesperson for the Taiwan Affairs Office of the State Council on Wed. https://t.co/2sz4tp5NdD https://t.co/krbJeThP2J "	9/11/19	0	0	0.4588	1
"The US is accountable for all consequences of its arms sales to China's Taiwan. It is a pity that the US repeatedly violated the #oneChina principle and three #China-#US joint communiques, MOD spokesperson said Thur, vowing to defeat any form of ""Taiwan independence"" https://t.co/iB6GvZPntI "	8/29/19	0	0	-0.8225	-1
What an incredible scene! Funnel-shaped tornado was spotted in SE China's Taiwan https://t.co/kgX6HfpBqs 	8/28/19	0	0	0	0
"It’s been over a year that SE China’s Fujian has supplied water stably and safely to Kinmen, an island in China’s #Taiwan, providing 3.9 million tonnes of water to alleviate water shortage for the locals since last August: Taiwan Affairs Office of the State Council. 💧🚰 https://t.co/yMPfxzppFd "	8/24/19	0	0	0.296	1
#China on Wednesday vows to impose #sanctions on U.S. firms involved in the sale of F-16 fighter jets to #Taiwan https://t.co/9rVdEot05x 	8/21/19	0	0	-0.1531	-1
"The Chinese mainland warned Taiwan's DPP authority to stop interfering in #HongKong affairs and its connivance towards the criminals, said State Council Taiwan Affairs Office spokesperson on Mon. ""Such acts would make #Taiwan a haven sheltering criminals"" https://t.co/ekLpmcEg2s "	8/19/19	0	1	-0.886	-1
"#BREAKING: A 5.0-magnitude earthquake jolted Hualian, China's Taiwan with a depth of 6km: CENC https://t.co/0D0TwD82zI "	8/18/19	0	0	0	0
"China lodged solemn representations to the #US on Fri against arms sales to #Taiwan, which violated the one-China principle and the three China-US joint communiques, in response to US's move on $8-bln-worth sale of F-16V fighters https://t.co/jzu2skPdxM "	8/16/19	0	0	-0.5994	-1
"The Chinese mainland on Tue warned Taiwan’s Democratic Progressive Party (#DPP) authorities to keep their hands off #HongKong. Ma Xiaoguang, a spokesperson for the State Council Taiwan Affairs Office, made the remark following recent comments by DPP Chairman Cho Jung-tai. https://t.co/Yr2yDoCMaV "	8/14/19	0	0	0.1531	1
US fashion brand @Coach apologized on Mon for major designing errors and stressed that it respects Chinese sovereignty and territory integrity after it was found listing #HongKong and #Taiwan as countries for its products and on its website. https://t.co/zKSdBvZIP4 	8/12/19	0	0	0.34	1
"Hong Kong, Macao and Taiwan students traced their internship memories with the Internet and IT Industry Internship Program for #HongKong, #Macao and #Taiwan Undergraduates by Chinese mainland, as the program celebrated its 5th anniversary. https://t.co/uFYVEXwg8u "	8/8/19	0	0	0.5719	1
"A Dream-Chasing Summer: Hong Kong, Macao and Taiwan students shared their fruitful experience they harvested during the internship in the internet and IT industry in the Chinese mainland. https://t.co/M8u8kxbOXp "	8/8/19	0	0	0.34	1
"JUST IN: The State Film Administration announced on Wednesday that mainland films and film industry talent will not attend the 56th Golden Horse Awards in Taipei, China's Taiwan. https://t.co/vB0fU1wSR8 "	8/6/19	0	0	0.7003	1
